,id,timestamp,program,question_1,question_2,question_3,question_4,question_5,is_relevant,is_relevant_proc,is_positive,is_positive_proc,object,object_proc,metodist_positive_ind_1_present,metodist_positive_ind_2_knowledgepractice,metodist_positive_ind_3_knowledge,professor_positive__ind_1_speach,professor_positive__ind_2_material,professor_positive__ind_3_communication,metodist_negative_ind_1_badexamples,metodist_negative_ind_2_badmaterial,metodist_negative_ind_3_badknowledge,professor_negative__ind_1_badspeach,professor_negative__ind_2_badmaterial,professor_negative__ind_3_badcommunication,professorname,metodistname,is_critical
0,49,2024-04-06 14:09:57,Управление персоналом,1,Все понравилось,"Календарь составили так, что совместилось два обучения в одно и тоже время, что не совсем удобно",Все хорошо,Создания чата со студентами,1,0.9784258008003235,0,0.7516704797744751,2,0.5316610336303711,0,0,0,0,0,0,0,0,0,0,0,0,Попов,Егоров,0
1,50,2024-04-06 14:10:07,ChatGPT для обучения,1,Gpt чат,Информация предоставлена в доступном виде,Все хорошо,Другие виды ИИ,1,0.9783095121383667,1,0.9096056818962097,2,0.4229837656021118,0,0,0,0,0,0,0,0,0,0,0,0,Васильев,Козлов,0
2,51,2024-04-06 14:10:24,ChatGPT для обучения,1,"Промт-Инжиниринг, это уже даёт какое-то понимание правильной формулировки вопросов для ИИ.",Нет,"Не увидел минусов в вебинаре, очень понравился.",Промт-Инжиниринг,1,0.985932469367981,1,0.9699299335479736,0,0.6612409949302673,0,0,0,0,0,0,0,0,0,0,0,0,Соколов,Козлов,0
3,52,2024-04-06 14:13:26,ChatGPT для обучения,1,"новая информация, полезно",нет не было таких моментов,мне все понравилось,пока затрудняюсь ответить,1,0.9470146298408508,0,0.850318431854248,2,0.4214700758457184,0,0,0,0,0,0,0,0,0,0,0,0,Соколов,Козлов,1
4,53,2024-04-06 14:15:20,ChatGPT для обучения,1,Светлые и темные стороны ChatGPT,Не знание определений,Все идеально,темы по дизайну интерьера,1,0.980943500995636,1,0.9170545339584351,2,0.4107815623283386,0,0,0,0,0,0,0,0,0,0,1,0,Соколов,Козлов,0
5,54,2024-04-06 18:00:00,Новейшие тенденции в IT,1,"Обсуждение было настолько скучным, что я научился жонглировать во время вебинара.","Да, пытался понять жонглирование тремя шарами.","Возможно, включить более динамичную музыку во время обсуждений.",Жонглирование для начинающих.,0,0.5354830026626587,0,0.897905170917511,0,0.39713147282600403,0,0,0,0,0,0,0,0,0,0,0,0,Михайлова,Егоров,0
6,55,2024-04-07 11:00:00,Продвинутые техники программирования,1,Глубокий анализ шаблонов проектирования на конкретных примерах.,Сложно было понять шаблон Singleton.,Подробнее разбирать каждый шаблон на примерах.,Тестирование ПО и фреймворки для автоматизации.,1,0.9922398328781128,1,0.9755487442016602,1,0.43497171998023987,0,0,0,0,0,0,0,0,0,0,0,0,Кузнецова,Семенов,0
7,56,2024-04-07 16:00:00,Основы программирования,1,Объяснение циклов и массивов в JavaScript было очень доступным и понятным.,Нет.,Добавить видео с разбором сложных примеров кода после вебинара.,Подробнее о Node.js и серверном JavaScript.,1,0.9917667508125305,1,0.977754533290863,0,0.675446093082428,0,0,0,1,0,0,0,0,0,0,0,0,Иванов,Лебедев,1
8,27,2024-04-01 08:30:00,Основы программирования,1,Интерактивный подход к изучению основ C# был очень увлекательным.,Нет.,Увеличить количество практических заданий для лучшего закрепления материала.,Введение в разработку на .NET Framework.,1,0.9921855330467224,1,0.9746651649475098,0,0.7011390328407288,0,0,0,1,0,0,0,0,0,0,0,0,Петров,Лебедев,0
9,28,2024-04-01 10:00:00,Основы программирования,1,Подробное объяснение логических операторов в JavaScript помогло мне лучше понять условные конструкции.,Нет.,Предоставить ещё больше практических задач после теории.,Детальное изучение асинхронного программирования в JavaScript.,1,0.9919609427452087,1,0.9765839576721191,0,0.7155283093452454,0,0,0,1,0,1,0,0,0,0,0,0,Петров,Лебедев,1
10,29,2024-04-01 15:00:00,Основы программирования,1,"Введение в программирование на Python было простым и интуитивно понятным, особенно для начинающих.",Нет.,"Улучшить качество видеоматериалов, иногда было трудно разглядеть код.",Библиотеки Python для анализа данных и машинного обучения.,1,0.9914246797561646,1,0.9741864800453186,0,0.6499956846237183,0,0,0,1,0,0,0,0,0,0,0,0,Петров,Лебедев,0
